OrderDate,Quantity
12/9/2019,1
12/9/2019,1
12/10/2019,1
12/11/2019,1
12/11/2019,1
12/12/2019,1
12/12/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/15/2019,1
12/16/2019,1
12/17/2019,1
12/17/2019,1
12/17/2019,1
12/17/2019,1
12/17/2019,1
12/24/2019,2
12/25/2019,1
12/26/2019,1
12/27/2019,1
12/27/2019,1
12/27/2019,1
12/27/2019,1
12/28/2019,1
12/29/2019,1
12/29/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/30/2019,1
12/31/2019,1
1/1/2020,1
1/1/2020,4
1/6/2020,1
1/6/2020,1
1/13/2020,1
1/15/2020,1
1/15/2020,1
1/15/2020,1
1/17/2020,1
1/19/2020,1
1/22/2020,1
1/23/2020,1
1/24/2020,1
1/24/2020,1
1/24/2020,1
1/24/2020,1
1/24/2020,1
1/26/2020,1
1/26/2020,1
1/26/2020,1
1/28/2020,1
1/31/2020,1
1/31/2020,1
2/7/2020,1
2/7/2020,1
2/7/2020,1
2/7/2020,1
2/12/2020,1
2/13/2020,1
2/13/2020,1
2/13/2020,1
2/13/2020,1
2/13/2020,1
2/13/2020,1
2/13/2020,1
2/14/2020,2
2/14/2020,2
2/14/2020,1
2/14/2020,2
2/14/2020,1
2/14/2020,1
2/14/2020,3
2/14/2020,2
2/14/2020,1
2/15/2020,1
2/16/2020,1
2/16/2020,1
2/16/2020,1
2/16/2020,1
2/16/2020,1
2/20/2020,1
2/20/2020,1
2/21/2020,1
2/21/2020,2
2/24/2020,1
2/24/2020,2
2/24/2020,1
2/24/2020,1
2/24/2020,1
2/24/2020,2
2/24/2020,1
2/24/2020,1
2/24/2020,2
2/24/2020,3
2/24/2020,1
2/24/2020,1
2/25/2020,1
2/26/2020,1
2/28/2020,1
2/28/2020,1
2/29/2020,1
2/29/2020,1
2/29/2020,3
2/29/2020,1
2/29/2020,1
2/29/2020,1
3/3/2020,1
3/3/2020,1
3/4/2020,3
3/7/2020,1
3/7/2020,1
3/7/2020,1
3/7/2020,1
3/7/2020,1
3/7/2020,1
3/8/2020,1
3/11/2020,1
3/11/2020,1
3/12/2020,2
3/12/2020,2
3/12/2020,1
3/13/2020,1
3/13/2020,1
3/13/2020,1
3/14/2020,1
3/14/2020,1
3/14/2020,1
3/14/2020,1
3/14/2020,1
3/15/2020,1
3/15/2020,1
3/16/2020,1
3/19/2020,1
3/20/2020,1
3/20/2020,1
3/20/2020,2
3/22/2020,1
3/22/2020,1
3/23/2020,1
3/25/2020,1
3/25/2020,1
3/29/2020,1
3/29/2020,1
4/1/2020,1
4/3/2020,1
4/3/2020,1
4/3/2020,1
4/4/2020,1
4/4/2020,1
4/4/2020,1
4/5/2020,1
4/6/2020,1
4/6/2020,1
4/6/2020,1
4/6/2020,2
4/6/2020,2
4/6/2020,1
4/6/2020,2
4/6/2020,1
4/7/2020,1
4/7/2020,1
4/7/2020,1
4/8/2020,1
4/8/2020,1
4/10/2020,1
4/14/2020,1
4/26/2020,1
4/26/2020,1
4/26/2020,2
4/26/2020,1
4/26/2020,2
4/26/2020,2
4/26/2020,1
4/26/2020,1
4/28/2020,1
4/29/2020,1
5/2/2020,1
5/3/2020,1
5/4/2020,1
5/6/2020,1
5/6/2020,1
5/7/2020,1
5/10/2020,1
5/12/2020,1
5/12/2020,1
5/16/2020,1
5/16/2020,1
5/16/2020,1
5/17/2020,1
5/19/2020,1
5/23/2020,1
5/25/2020,1
5/27/2020,1
5/27/2020,1
5/28/2020,1
5/28/2020,1
5/28/2020,1
5/28/2020,1
5/29/2020,1
5/29/2020,1
5/29/2020,1
5/29/2020,1
5/29/2020,1
5/30/2020,1
6/6/2020,1
6/6/2020,1
6/6/2020,1
6/9/2020,1
6/9/2020,1
6/10/2020,1
6/10/2020,1
6/14/2020,1
6/14/2020,1
6/14/2020,2
6/17/2020,1
6/17/2020,1
6/22/2020,1
6/22/2020,1
6/26/2020,1
6/27/2020,1
6/27/2020,1
6/27/2020,1
6/28/2020,1
6/28/2020,1
6/30/2020,1
7/3/2020,1
7/3/2020,1
7/3/2020,1
7/3/2020,1
7/3/2020,1
7/5/2020,1
7/5/2020,2
7/5/2020,1
7/7/2020,1
7/8/2020,1
7/8/2020,1
7/8/2020,1
7/8/2020,2
7/8/2020,1
7/8/2020,2
7/8/2020,3
7/8/2020,2
